fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2008-04-30,1383455205560.0,93625873850.0,1225517048000.0,155682520910.0,19160818330.0,12436953850.0,17904.66963130709,2893745770.0
2008-05-31,1394315043160.0,129847658860.0,1181205130340.0,156635448080.0,19404361730.0,12334219800.0,17502.334365745304,1912412370.0
2008-06-30,1385684475150.0,154104484710.0,1160743703260.0,159106120640.0,19281832150.0,11764248160.0,17533.837911500003,4529650270.0
2008-07-31,1341377511470.0,167124984640.0,1221006461680.0,159809559580.0,19409311980.0,11877607600.0,18346.274499434163,-1254819770.0
2008-08-31,1349941801730.0,180588314650.0,1177555219240.0,160365462090.0,18808595380.0,12602145560.0,17826.444123388672,1695472330.0
2008-09-30,1343994084360.0,171765573940.0,1130190523260.0,160738230260.0,18795808360.0,11941250230.0,17906.09561597677,1555117220.0
2008-10-31,1322015829270.0,168107295370.0,1066547886510.0,161072186390.0,19304606860.0,11638591720.0,18190.19454815234,1308984510.0
2008-11-30,1325243789890.0,174002232960.0,1013019212150.0,156462111820.0,19021165360.0,11643329870.0,18567.053912051575,-4803570250.0
2008-12-31,1112409772650.0,185508614380.0,979087286310.0,155344994560.0,16544348260.0,12761256860.0,22035.53356189916,-488125850.0
2009-01-31,1096410758890.0001,192623066580.0,923331481870.0,153318657890.0,15290668410.0,11793813000.0,12954.01101571725,197028550.0
2009-02-28,1067742038140.0,195439693070.0,845547047060.0,154311817420.0,14861165440.0,10050041890.0,13268.914193272518,2015516150.0
2009-03-31,1026149235840.0,176152948620.0,803202395140.0,149333944830.0,14577606720.0,9315247720.0,13340.670787553165,-6040971080.0
2009-04-30,953324791430.0,135073256840.0,787337824430.0,133488606060.0,13275711640.0,9002761610.0,13881.413986650685,-15769798740.0
2009-05-31,925233054910.0,126318715750.0,731249778430.0,133283598650.0,12034653150.0,8141890700.0,13782.939003076559,-92311810.0
2009-06-30,884509609210.0,122223790940.0,678271978990.0,131217890110.0,11194102910.0,7235377790.0,13768.831431924478,-1953013950.0
2009-07-31,858771504500.0,113527469730.0,633665158000.0,132087515890.0,10604143910.0,5879844690.0,14736.920383861629,982320370.0
2009-08-31,836282604820.0,115885982240.0,612046005730.0,133393860000.0,9885204480.0,5093194320.0,14093.578394600294,1429106780.0
2009-09-30,802815803440.0,119796828740.0,583617889300.0,135734159860.00002,9809271050.0,4471840940.0,13868.250462938882,2452994450.0
2009-10-31,800274142150.0,114357063090.0,573364906960.0,169675658870.0,9438542710.0,4457638800.0,14447.430402791437,1998648150.0
2009-11-30,791959381710.0,118317494910.0,594949411670.0,169316211590.0,8967198550.0,4148606280.0,14806.998612830024,-526967970.0
2009-12-31,738789939340.0,119906758650.0,597950174800.0,165549313070.0,9124558910.0,-3688601070.0,17645.04132478309,-3654749380.0
2010-01-31,761341590760.0,119647817370.0,577606792380.0,167179155520.0,8422619960.000001,3524651750.0,18634.73184959866,1750751600.0
2010-02-28,751511235890.0,116121616050.0,569576260500.0,170140425490.0,8457460439.999997,2930020230.0,18938.580118195016,3082178120.0
2010-03-31,732815012490.0,107711247790.0,559208427020.0,173360566290.0,8349332890.000002,3178498080.0,19361.72015684641,3346618960.0
2010-04-30,742004564700.0,102369981750.0,567434386710.0,177732883210.0,7996733170.0,3237154080.0,19833.08435434853,4499112070.0
2010-05-31,739917124880.0,101591720390.0,569859199070.0,178893298400.0,8086427500.0,3099532410.0,19951.891203071667,4691802130.0
2010-06-30,753500809070.0,111852196980.0,542603268330.0,180082498560.0,7935038780.0,2770881750.0,19949.927516746124,1731635310.0
2010-07-31,744458034240.0,100965218330.0,557688363930.0,182645160780.0,7902917410.0,3037269430.0,21181.435175507926,4290676250.0
2010-08-31,730373151650.0,94688753570.0,514931221260.0,184681875630.0,7774757900.0,2802838700.0,20440.20322534914,3351150000.0
2010-09-30,741978770140.0,88032377690.0,517866602660.0,186720944680.0,7587056610.0,2583577450.0,20299.420868061177,4040504190.0
2010-10-31,727818539350.0,88038619350.0,490505657010.0,188824343510.0,7655893730.0,2476989950.0,21063.92467004669,3359033980.0
2010-11-30,740197116140.0,83280505650.0,499315958900.0,190847881260.0,7547042240.0,2317087040.0,21930.383096763326,3701972890.0
2010-12-31,674857099710.0,77470955480.0,479644402430.0,192666440960.0,7512229460.0,2365372620.0,25873.697765465316,2788628230.0
2011-01-31,716740066820.0,74935850990.0,503120423060.0,193959632140.0,7189421120.0,2267218040.0,23124.655126264417,3241890620.0
2011-02-28,746665028020.0,77972229950.0,551482981700.0,195258315440.0,7385802130.0,2256325660.0,23407.840219920774,2889086920.0
2011-03-31,749752782180.0,74021364580.0,589122241590.0,197088595150.0,7681573070.0,2654891360.0,23908.65305978663,3501119290.0
2011-04-30,794631034690.0,69685684050.0,576831252890.0,198978740490.0,8073204910.0,2483713750.0,25298.442677963336,3614206860.0
2011-05-31,790641215180.0,64345691600.0,573824361170.0,201004910900.0,8385136590.0,2609086080.0,24625.941078477234,3855294900.0
2011-06-30,756411546640.0,68618674150.0,578204857750.0,202382317020.0,8499801260.0,2591329480.0,24893.900780926986,2778113200.0
2011-07-31,795771855050.0,66447197050.0,568427198700.0,203898795560.0,8593351690.0,2635754490.0,26496.092632040225,3121417320.0
2011-08-31,795299484540.0,61341339800.0,645649435230.0,205206278530.0,8649849690.0,3084031650.0,25657.895906666803,2862570610.0
2011-09-30,794628893670.0,52891251800.0,641625861770.0,212851245600.0,9252977320.0,3204237880.0,25232.373553412323,2966475370.0
2011-10-31,807267568260.0,53839887940.0,663505281080.0,214601295260.0,9096622210.0,3449772660.0,25631.918769580327,2314274660.0
2011-11-30,860309547320.0,51597006380.0,682342422050.0,215648276010.0,9420915890.0,3578706990.0,26961.36326009622,2715476100.0
2011-12-31,813326856970.0,56741890660.0,698062579490.0,218210550940.0,10593645620.0,4051928630.0,31910.922934864728,3654909360.0
2012-01-31,783164460170.0,51921011590.0,690802777690.0,220336022430.0,9391337170.0,3995814570.0,21968.540452595393,3917008150.0
2012-02-29,820136725760.0,48141302370.0,693011504700.0,221667130890.0,9566495630.0,4070119370.0,23146.696228322555,2507148119.9999995
2012-03-31,852358855670.0,45604309990.0,703950963680.0,223114516910.0,9903867640.0,4383986850.0,23138.880859909506,2790823670.0000005
